id,nombre,direccion,long,lat
130,130 - RETIRO II,"Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador",-58.3745377410695,-34.5921062117227
358,249 - Balbín,2519 Conesa,-58.4655854588057,-34.561485468715
335,206 - Galicia,2502 Galicia,-58.4709800774731,-34.615945683095
7,007 - OBELISCO,CARLOS PELEGRINI 215,-58.3810942201453,-34.6064989079791
124,124 - UGARTECHE,3050 Ugarteche,-58.4119623359704,-34.5805381653637
89,089 - Cabello,3082 Cabello,-58.4056641848969,-34.5825477419399
191,191 - Rivadavia y 9 de Julio,Pellegrini Y Rivadavia Av.,-58.3808320193126,-34.6079314419364
196,196 - HOSPITAL ARGERICH,750 Pi Y Margall & Necochea,-58.36571682173,-34.6275365630589
149,149 - LIMA,México & Lima,-58.3813604943936,-34.6153277081039
85,085 - AGUERO,"Aguero & Mansilla, Lucio Norberto, General",-58.4091757205161,-34.5948062041797
435,227 -Club Ciudad de Buenos Aires,Miguel Sanchez y Av Libertadores,-58.4594980806633,-34.5445021121101
54,054 - Acuña de Figueroa,"Lavalle & Acuña De Figueroa, Francisco",-58.4219822840508,-34.5981188170432
17,017 - Plaza Almagro,"441 Bulnes & Peron, Juan Domingo, Tte. General",-58.4187284062523,-34.6064108220505
101,101 - Fitz Roy,Fitz Roy  1092 & Loyola,-58.4424383822345,-34.5891859132009
20,020 - Distrito Audiovisual,Zapiola & Dorrego,-58.4417741874136,-34.579861904009
82,082 - HOSPITAL ITALIANO,394 Rawson & Potosi,-58.4263928399857,-34.6078924183071
199,199 - ESTADOS UNIDOS Y BOEDO,3568 Estados Unidos & Boedo Av.,-58.4160115052234,-34.6222611969432
27,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900852461919,-34.5990686946381
161,161 - Humahuaca,3912 Humahuaca,-58.419673915093,-34.6020785186272
210,335 - General Urquiza,Figueroa Alcorta & Sarmiento,-58.4112752471874,-34.5721649779639
254,276 - PRIMERA JUNTA,Av. Rivadavia & Del Barco Centenera,-58.4416058733794,-34.6207179362781
99,099 - Malabia,780 Malabia & Loyola,-58.4354064354036,-34.596096505182
316,205 - SAN MARTIN,1471 Cucha Cucha,-58.453474264924,-34.6055675324672
280,222 - SIMON BOLIVAR,"1701 Fernandez Moreno, Baldomero",-58.4493782931679,-34.633529190471
258,336 - La Pampa,La Pampa 2512 & Ciudad de la Paz,-58.4553330558778,-34.5655206108981
3,003 - ADUANA,Moreno & Av Paseo Colon,-58.368256111128,-34.611033074021
58,058 - Ministro Carranza,Santa Fe Av. & Dorrego,-58.4346865559259,-34.5752772343024
235,281 - Villa Urquiza,Triunvirato Av. & Roosevelt Franklin D. Av.,-58.4870744524175,-34.5737946433224
204,167 - Hipólito Yrigoyen,"4300 Yrigoyen, Hipolito Av.",-58.427816250575,-34.6149488722851
128,128 - PARQUE DEL BAJO,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General",-58.3689074892767,-34.6041147130164
215,113 - Guatemala,Guatemala 4773,-58.424993923364,-34.5858782232926
432,187 - Jose Maria Moreno,141 Jose Maria Moreno,-58.4357996225498,-34.6198799456432
117,117 - HUMBERTO 1°,Peru  1016,-58.3741719253076,-34.6201020521277
33,033 - Facultad de Medicina,Pres. José Evaristo Uriburu 987,-58.3989776069524,-34.5970915061267
146,146 - Hospital Francés,"3024 Calvo, Carlos",-58.4078393595421,-34.6221129335563
163,163 - ONCE II,Bartolome Mitre & Av. Puyrredon,-58.4064281102522,-34.6095671542232
361,258 - Plaza J.J. Paso,1399 Moldes,-58.4536070094485,-34.5691867028408
387,278 - Donato Alvarez,"1540 Garcia, Juan Agustin",-58.4655677492277,-34.6020283923655
426,396 - PLAZA ALBERTI,Arcos & Roosevelt Franklin D.,-58.4585371159979,-34.5550803575244
323,240 - ECHEVERRIA,1981 Vidal,-58.4592972220666,-34.565408588895
118,118 - MEXICO,Saavedra & Mexico,-58.4026503042792,-34.6170206427367
84,084 - Lavalle,Ayacucho 595,-58.3955111981761,-34.6023210423103
202,001 - FACULTAD DE DERECHO,Av. Pres. Figueroa Alcorta 2120,-58.3905984584925,-34.5837493428954
21,021 - Parque Patricios,Iguazu & Uspallata,-58.4064295289892,-34.6401125513497
93,093 - CARLOS CALVO,Sarandi 1010,-58.3944603859313,-34.6207991689907
273,223 - GAINZA,"494 Gainza, Martin De, Gral.",-58.4467500618373,-34.6167588207107
322,289 - MONTAÑESES,2786 Montañeses,-58.4541799054169,-34.5513032929413
236,254 - Plaza Rafael Hernandez,Vuelta de Obligado 2004,-58.455165024712,-34.5621605352259
355,242 - Plazoleta Rafael del Riego,o´higins 1327,-58.4463796927595,-34.5674826994842
424,387 - Luna,201 Luna,-58.3996472319575,-34.6385855496622
248,346 - Plaza Zapiola,2001 Donado,-58.4746349264237,-34.5735216982903
41,041 - Urquiza y Rondeau,"Urquiza, Gral. & Rondeau",-58.4076323535048,-34.6364525618911
172,172 - BRASIL,BRASIL&DEFENSA,-58.3710779328158,-34.6254273887697
205,125 - F.J.Santamaria de Oro,F.J.Santamaria de Oro & Guatemala,-58.4280140323528,-34.5833231502835
164,164 - FACULTAD DE INGENERIA,Estados Unidos 21,-58.3668978045589,-34.6181454429394
231,384 - PLAZA BENITO NAZAR,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel",-58.4458959421918,-34.6051095592246
179,179 - CASA SAN,Olavarría 811,-58.3642842393838,-34.6384803199403
